JVL부대찌개,3,한식
바비큐BOX,3,고기
슈퍼통닭,3,치킨
고레카레,3,일식
"우유,유제품",3,-
"생활,편의",3,-
달려라달봉이떡볶이,3,분식
"차,커피",3,카페
바람부리명태찜,3,"찜,탕"
바사칸동네치킨,3,치킨
반찬가게,3,-
"커피가공,제조",2,-
달봉이치킨,2,치킨
북문로떡볶이,2,분식
미친노가리,2,주점
문어부인삼교비,2,고기
개성진찹쌀순대,2,한식
애플김밥,2,분식
문배동육칼,2,한식
대구근대골목단팥빵,2,기타
장수통닭,2,치킨
찐빵,2,기타
달볶이,2,분식
미스포,2,세계음식
플라워카페,2,카페
"서비스,산업",2,-
여행사,2,-
세탁,2,-
셀프빨래방,2,-
일석삼조버섯매운탕,2,한식
"꽃집,꽃배달",2,-
대구형제막창,2,고기
바른생활샌드위치,2,패스트푸드
반려동물,2,-
반려동물미용,2,-
"육류가공,제조",2,-
신떡순신천할매떡볶이,2,분식
서점,2,-
테마카페,2,-
자전거,1,-
"도서,음반,문구",1,-
"문구,팬시용품",1,-
가리미김밥,1,분식
1도씨맥주,1,주점
장어야놀자,1,한식
빵류제조,1,-
인근주민,1,-
음료,1,-
대게나라,1,한식
가공식품,1,-
45년의정부부대찌개,1,한식
자매떡볶이,1,분식
무통삼,1,고기
바른스시,1,일식
292짬떡,1,분식
압구정본가불닭발,1,한식
"연애,결혼",1,-
예식장,1,-
슬라임카페,1,-
밀크밥버거,1,패스트푸드
미친양꼬치,1,중식
닭발먹은새우,1,한식
정육점,1,-
장미찜닭,1,"찜,탕"
"문화,예술",1,-
"갤러리,화랑",1,-
닭,1,-
스푼떡볶이,1,분식
가구,1,-
아메리칸존슨,1,양식
공방,1,-
"여행,명소",1,-
"문화,유적",1,-
주방용품,1,-
